Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
959.7066,99.9998,959.7066,-197.274
959.8133,99.9998,959.8133,-197.226
959.92,99.9998,959.92,-197.179
960.0267,99.9998,960.0267,-197.133
960.1334,99.9998,960.1334,-197.087
960.2402,99.9998,960.2402,-197.042
960.3469,99.9998,960.3469,-196.998
960.4537,99.9998,960.4537,-196.955
960.5606,99.9998,960.5606,-196.913
960.6674,99.9998,960.6674,-196.872
960.7743,99.9998,960.7743,-196.831
960.8812,99.9998,960.8812,-196.792
960.9881,99.9998,960.9881,-196.753
961.095,99.9998,961.095,-196.715
961.202,99.9998,961.202,-196.679
961.309,99.9998,961.309,-196.643
961.416,99.9998,961.416,-196.608
961.523,99.9998,961.523,-196.574
961.6301,99.9998,961.6301,-196.541
961.7372,99.9998,961.7372,-196.509
961.8443,99.9998,961.8443,-196.478
961.9514,99.9998,961.9514,-196.448
962.0586,99.9998,962.0586,-196.419
962.1658,99.9998,962.1658,-196.391
962.273,99.9998,962.273,-196.364
962.3802,99.9998,962.3802,-196.338
962.4875,99.9998,962.4875,-196.313
962.5947,99.9998,962.5947,-196.289
962.702,99.9998,962.702,-196.266
962.8094,99.9998,962.8094,-196.244
962.9167,99.9998,962.9167,-196.223
963.0241,99.9998,963.0241,-196.203
963.1315,99.9998,963.1315,-196.184
963.2389,99.9998,963.2389,-196.167
963.3463,99.9998,963.3463,-196.15
963.4538,99.9998,963.4538,-196.134
963.5613,99.9998,963.5613,-196.12
963.6688,99.9998,963.6688,-196.106
963.7764,99.9998,963.7764,-196.094
963.8839,99.9998,963.8839,-196.082
963.9915,99.9998,963.9915,-196.072
964.0991,99.9998,964.0991,-196.063
964.2068,99.9998,964.2068,-196.054
964.3144,99.9998,964.3144,-196.047
964.4221,99.9998,964.4221,-196.041
964.5298,99.9998,964.5298,-196.036
964.6376,99.99979,964.6376,-196.032
964.7453,99.99979,964.7453,-196.03
964.8531,99.99979,964.8531,-196.028
964.9609,99.99979,964.9609,-196.027
965.0687,99.99979,965.0687,-196.028
965.1766,99.99979,965.1766,-196.029
965.2845,99.99979,965.2845,-196.032
965.3924,99.99979,965.3924,-196.036
965.5003,99.99979,965.5003,-196.04
965.6082,99.99979,965.6082,-196.046
965.7162,99.99979,965.7162,-196.053
965.8242,99.99979,965.8242,-196.061
965.9322,99.99978,965.9322,-196.07
966.0403,99.99978,966.0403,-196.08
966.1483,99.99978,966.1483,-196.091
966.2564,99.99978,966.2564,-196.104
966.3646,99.99978,966.3646,-196.117
966.4727,99.99978,966.4727,-196.131
966.5809,99.99978,966.5809,-196.147
966.6891,99.99978,966.6891,-196.163
966.7973,99.99978,966.7973,-196.181
966.9055,99.99977,966.9055,-196.199
967.0138,99.99977,967.0138,-196.219
967.1221,99.99977,967.1221,-196.239
967.2304,99.99977,967.2304,-196.261
967.3387,99.99977,967.3387,-196.284
967.4471,99.99977,967.4471,-196.307
967.5555,99.99977,967.5555,-196.332
967.6639,99.99977,967.6639,-196.357
967.7723,99.99976,967.7723,-196.384
967.8808,99.99976,967.8808,-196.412
967.9892,99.99976,967.9892,-196.44
968.0977,99.99976,968.0977,-196.47
968.2063,99.99976,968.2063,-196.501
968.3148,99.99976,968.3148,-196.532
968.4234,99.99975,968.4234,-196.564
968.532,99.99975,968.532,-196.598
968.6406,99.99975,968.6406,-196.632
968.7493,99.99975,968.7493,-196.667
968.858,99.99975,968.858,-196.704
968.9667,99.99974,968.9667,-196.741
969.0754,99.99974,969.0754,-196.779
969.1842,99.99974,969.1842,-196.817
969.2929,99.99974,969.2929,-196.857
969.4017,99.99974,969.4017,-196.898
969.5106,99.99973,969.5106,-196.939
969.6194,99.99973,969.6194,-196.981
969.7283,99.99973,969.7283,-197.024
969.8372,99.99973,969.8372,-197.068
969.9461,99.99972,969.9461,-197.113
970.055,99.99972,970.055,-197.159
970.164,99.99972,970.164,-197.205
970.273,99.99972,970.273,-197.252
970.382,99.99971,970.382,-197.3
970.4911,99.99971,970.4911,-197.349
970.6001,99.99971,970.6001,-197.398
970.7092,99.99971,970.7092,-197.448
970.8183,99.9997,970.8183,-197.499
970.9275,99.9997,970.9275,-197.55
971.0367,99.9997,971.0367,-197.602
971.1458,99.99969,971.1458,-197.655
971.2551,99.99969,971.2551,-197.709
971.3643,99.99969,971.3643,-197.763
971.4736,99.99968,971.4736,-197.818
971.5829,99.99968,971.5829,-197.873
971.6922,99.99968,971.6922,-197.929
971.8015,99.99967,971.8015,-197.986
971.9109,99.99967,971.9109,-198.043
972.0203,99.99967,972.0203,-198.101
972.1297,99.99966,972.1297,-198.159
972.2391,99.99966,972.2391,-198.218
972.3486,99.99965,972.3486,-198.277
972.4581,99.99965,972.4581,-198.337
972.5676,99.99965,972.5676,-198.397
972.6771,99.99964,972.6771,-198.458
972.7867,99.99964,972.7867,-198.519
972.8962,99.99963,972.8962,-198.58
973.0059,99.99963,973.0059,-198.642
973.1155,99.99962,973.1155,-198.705
973.2252,99.99962,973.2252,-198.768
973.3348,99.99961,973.3348,-198.831
973.4445,99.99961,973.4445,-198.894
973.5543,99.9996,973.5543,-198.958
973.664,99.9996,973.664,-199.022
973.7738,99.99959,973.7738,-199.087
973.8836,99.99959,973.8836,-199.151
973.9935,99.99958,973.9935,-199.216
974.1033,99.99958,974.1033,-199.282
974.2132,99.99957,974.2132,-199.347
974.3231,99.99956,974.3231,-199.413
974.433,99.99956,974.433,-199.479
974.543,99.99955,974.543,-199.545
974.653,99.99954,974.653,-199.611
974.763,99.99954,974.763,-199.677
974.873,99.99953,974.873,-199.743
974.9831,99.99952,974.9831,-199.81
975.0931,99.99952,975.0931,-199.876
975.2033,99.99951,975.2033,-199.943
975.3134,99.9995,975.3134,-200.01
975.4235,99.99949,975.4235,-200.076
975.5337,99.99949,975.5337,-200.143
975.6439,99.99948,975.6439,-200.21
975.7542,99.99947,975.7542,-200.276
975.8644,99.99946,975.8644,-200.343
975.9747,99.99945,975.9747,-200.409
976.085,99.99944,976.085,-200.475
976.1953,99.99943,976.1953,-200.542
976.3057,99.99942,976.3057,-200.608
976.4161,99.99941,976.4161,-200.674
976.5265,99.9994,976.5265,-200.739
976.6369,99.99939,976.6369,-200.805
976.7473,99.99938,976.7473,-200.87
976.8578,99.99937,976.8578,-200.935
976.9683,99.99936,976.9683,-201
977.0789,99.99935,977.0789,-201.065
977.1894,99.99934,977.1894,-201.129
977.3,99.99933,977.3,-201.193
977.4106,99.99932,977.4106,-201.256
977.5212,99.9993,977.5212,-201.32
977.6319,99.99929,977.6319,-201.383
977.7426,99.99928,977.7426,-201.445
977.8533,99.99927,977.8533,-201.507
977.964,99.99925,977.964,-201.569
978.0747,99.99924,978.0747,-201.63
978.1855,99.99922,978.1855,-201.69
978.2963,99.99921,978.2963,-201.75
978.4072,99.9992,978.4072,-201.81
978.518,99.99918,978.518,-201.869
978.6289,99.99917,978.6289,-201.928
978.7398,99.99915,978.7398,-201.986
978.8507,99.99914,978.8507,-202.043
978.9617,99.99912,978.9617,-202.1
979.0727,99.9991,979.0727,-202.156
979.1837,99.99909,979.1837,-202.211
979.2947,99.99907,979.2947,-202.266
979.4058,99.99905,979.4058,-202.321
979.5168,99.99903,979.5168,-202.374
979.6279,99.99902,979.6279,-202.427
979.7391,99.999,979.7391,-202.479
979.8502,99.99898,979.8502,-202.531
979.9614,99.99896,979.9614,-202.581
980.0726,99.99894,980.0726,-202.631
980.1839,99.99892,980.1839,-202.681
980.2951,99.9989,980.2951,-202.729
980.4064,99.99888,980.4064,-202.777
980.5177,99.99886,980.5177,-202.824
980.629,99.99884,980.629,-202.87
980.7404,99.99882,980.7404,-202.916
980.8518,99.9988,980.8518,-202.96
980.9632,99.99878,980.9632,-203.005
981.0746,99.99876,981.0746,-203.048
981.1861,99.99874,981.1861,-203.09
981.2976,99.99872,981.2976,-203.132
981.4091,99.9987,981.4091,-203.173
981.5206,99.99868,981.5206,-203.214
981.6322,99.99866,981.6322,-203.253
981.7438,99.99864,981.7438,-203.292
981.8554,99.99862,981.8554,-203.33
981.967,99.9986,981.967,-203.368
982.0787,99.99858,982.0787,-203.405
982.1904,99.99856,982.1904,-203.441
982.3021,99.99854,982.3021,-203.477
982.4138,99.99852,982.4138,-203.512
982.5256,99.99851,982.5256,-203.546
982.6374,99.99849,982.6374,-203.579
982.7492,99.99847,982.7492,-203.612
982.861,99.99845,982.861,-203.644
982.9729,99.99844,982.9729,-203.676
983.0848,99.99842,983.0848,-203.707
983.1967,99.99841,983.1967,-203.737
983.3087,99.99839,983.3087,-203.766
983.4206,99.99838,983.4206,-203.795
983.5326,99.99837,983.5326,-203.823
983.6446,99.99836,983.6446,-203.85
983.7567,99.99835,983.7567,-203.877
983.8688,99.99834,983.8688,-203.902
983.9809,99.99833,983.9809,-203.927
984.093,99.99832,984.093,-203.95
984.2051,99.99831,984.2051,-203.973
984.3173,99.99831,984.3173,-203.995
984.4295,99.9983,984.4295,-204.015
984.5417,99.9983,984.5417,-204.035
984.654,99.9983,984.654,-204.053
984.7662,99.9983,984.7662,-204.07
984.8785,99.9983,984.8785,-204.086
984.9909,99.9983,984.9909,-204.101
985.1032,99.9983,985.1032,-204.114
985.2156,99.9983,985.2156,-204.126
985.328,99.9983,985.328,-204.136
985.4404,99.99831,985.4404,-204.145
985.5529,99.99831,985.5529,-204.153
985.6654,99.99832,985.6654,-204.159
985.7779,99.99833,985.7779,-204.163
985.8904,99.99834,985.8904,-204.166
986.003,99.99835,986.003,-204.168
986.1156,99.99836,986.1156,-204.168
986.2282,99.99837,986.2282,-204.166
986.3408,99.99838,986.3408,-204.162
986.4535,99.99839,986.4535,-204.158
986.5661,99.9984,986.5661,-204.151
986.6789,99.99841,986.6789,-204.143
986.7916,99.99843,986.7916,-204.134
986.9044,99.99844,986.9044,-204.122
987.0171,99.99846,987.0171,-204.11
987.13,99.99847,987.13,-204.096
987.2428,99.99849,987.2428,-204.08
987.3557,99.9985,987.3557,-204.063
987.4686,99.99852,987.4686,-204.045
987.5815,99.99853,987.5815,-204.025
987.6944,99.99855,987.6944,-204.003
987.8074,99.99857,987.8074,-203.981
987.9204,99.99858,987.9204,-203.957
988.0334,99.9986,988.0334,-203.931
988.1465,99.99861,988.1465,-203.905
988.2595,99.99863,988.2595,-203.877
988.3726,99.99865,988.3726,-203.848
988.4858,99.99866,988.4858,-203.817
988.5989,99.99868,988.5989,-203.785
988.7121,99.9987,988.7121,-203.753
988.8253,99.99871,988.8253,-203.718
988.9385,99.99873,988.9385,-203.683
989.0518,99.99875,989.0518,-203.647
989.165,99.99876,989.165,-203.609
989.2784,99.99878,989.2784,-203.571
989.3917,99.9988,989.3917,-203.531
989.505,99.99881,989.505,-203.49
989.6184,99.99883,989.6184,-203.448
989.7318,99.99884,989.7318,-203.405
989.8453,99.99886,989.8453,-203.361
989.9587,99.99887,989.9587,-203.316
990.0722,99.99889,990.0722,-203.27
990.1857,99.9989,990.1857,-203.223
990.2993,99.99892,990.2993,-203.175
990.4128,99.99893,990.4128,-203.126
990.5264,99.99894,990.5264,-203.076
990.6401,99.99896,990.6401,-203.025
990.7537,99.99897,990.7537,-202.973
990.8674,99.99898,990.8674,-202.92
990.9811,99.999,990.9811,-202.867
991.0948,99.99901,991.0948,-202.812
991.2085,99.99902,991.2085,-202.757
991.3223,99.99903,991.3223,-202.7
991.4361,99.99905,991.4361,-202.643
991.5499,99.99906,991.5499,-202.585
991.6638,99.99907,991.6638,-202.527
991.7777,99.99908,991.7777,-202.467
991.8916,99.99909,991.8916,-202.407
992.0055,99.9991,992.0055,-202.345
992.1195,99.99911,992.1195,-202.284
992.2335,99.99912,992.2335,-202.221
992.3475,99.99913,992.3475,-202.158
992.4615,99.99914,992.4615,-202.094
992.5756,99.99915,992.5756,-202.029
992.6897,99.99916,992.6897,-201.963
992.8038,99.99917,992.8038,-201.897
992.9179,99.99918,992.9179,-201.831
993.0321,99.99919,993.0321,-201.763
993.1463,99.9992,993.1463,-201.695
993.2605,99.99921,993.2605,-201.627
993.3747,99.99921,993.3747,-201.558
993.489,99.99922,993.489,-201.488
993.6033,99.99923,993.6033,-201.418
993.7176,99.99924,993.7176,-201.347
993.832,99.99925,993.832,-201.276
993.9464,99.99925,993.9464,-201.205
994.0608,99.99926,994.0608,-201.133
994.1752,99.99927,994.1752,-201.06
994.2897,99.99927,994.2897,-200.987
994.4041,99.99928,994.4041,-200.914
994.5187,99.99929,994.5187,-200.84
994.6332,99.99929,994.6332,-200.766
994.7478,99.9993,994.7478,-200.692
994.8623,99.99931,994.8623,-200.617
994.977,99.99931,994.977,-200.543
995.0916,99.99932,995.0916,-200.467
995.2063,99.99932,995.2063,-200.392
995.321,99.99933,995.321,-200.316
995.4357,99.99933,995.4357,-200.241
995.5504,99.99934,995.5504,-200.165
995.6652,99.99934,995.6652,-200.089
995.78,99.99935,995.78,-200.013
995.8948,99.99935,995.8948,-199.936
996.0097,99.99936,996.0097,-199.86
996.1246,99.99936,996.1246,-199.784
996.2395,99.99937,996.2395,-199.707
996.3544,99.99937,996.3544,-199.631
996.4694,99.99938,996.4694,-199.555
996.5844,99.99938,996.5844,-199.478
996.6994,99.99939,996.6994,-199.402
996.8144,99.99939,996.8144,-199.326
996.9295,99.99939,996.9295,-199.25
997.0446,99.9994,997.0446,-199.174
997.1597,99.9994,997.1597,-199.098
997.2748,99.9994,997.2748,-199.023
997.39,99.99941,997.39,-198.948
997.5052,99.99941,997.5052,-198.872
997.6204,99.99941,997.6204,-198.798
997.7357,99.99942,997.7357,-198.723
997.851,99.99942,997.851,-198.649
997.9663,99.99942,997.9663,-198.575
998.0816,99.99943,998.0816,-198.502
998.1969,99.99943,998.1969,-198.429
998.3123,99.99943,998.3123,-198.356
998.4277,99.99943,998.4277,-198.284
998.5432,99.99944,998.5432,-198.212
998.6586,99.99944,998.6586,-198.141
998.7741,99.99944,998.7741,-198.07
998.8897,99.99944,998.8897,-198
999.0052,99.99944,999.0052,-197.931
999.1208,99.99945,999.1208,-197.862
999.2364,99.99945,999.2364,-197.793
999.352,99.99945,999.352,-197.725
999.4677,99.99945,999.4677,-197.658
999.5833,99.99945,999.5833,-197.592
999.699,99.99946,999.699,-197.526
999.8148,99.99946,999.8148,-197.461
999.9305,99.99946,999.9305,-197.397
1000.046,99.99946,1000.046,-197.333
1000.162,99.99946,1000.162,-197.27
1000.278,99.99946,1000.278,-197.209
1000.394,99.99946,1000.394,-197.148
1000.51,99.99947,1000.51,-197.087
1000.626,99.99947,1000.626,-197.028
1000.742,99.99947,1000.742,-196.97
1000.858,99.99947,1000.858,-196.912
1000.974,99.99947,1000.974,-196.856
1001.09,99.99947,1001.09,-196.8
1001.206,99.99947,1001.206,-196.746
1001.322,99.99947,1001.322,-196.692
1001.438,99.99947,1001.438,-196.64
1001.554,99.99947,1001.554,-196.588
1001.67,99.99947,1001.67,-196.538
1001.786,99.99947,1001.786,-196.488
1001.903,99.99947,1001.903,-196.44
1002.019,99.99947,1002.019,-196.393
1002.135,99.99947,1002.135,-196.347
1002.251,99.99947,1002.251,-196.302
1002.368,99.99947,1002.368,-196.259
1002.484,99.99947,1002.484,-196.216
1002.6,99.99947,1002.6,-196.175
1002.717,99.99947,1002.717,-196.135
1002.833,99.99947,1002.833,-196.097
1002.95,99.99947,1002.95,-196.059
1003.066,99.99947,1003.066,-196.023
1003.183,99.99947,1003.183,-195.988
1003.299,99.99947,1003.299,-195.955
1003.416,99.99947,1003.416,-195.922
1003.532,99.99947,1003.532,-195.892
1003.649,99.99947,1003.649,-195.862
1003.766,99.99947,1003.766,-195.834
1003.882,99.99947,1003.882,-195.807
1003.999,99.99947,1003.999,-195.782
1004.116,99.99947,1004.116,-195.758
1004.233,99.99947,1004.233,-195.735
1004.349,99.99947,1004.349,-195.714
1004.466,99.99946,1004.466,-195.694
1004.583,99.99946,1004.583,-195.676
1004.7,99.99946,1004.7,-195.659
1004.817,99.99946,1004.817,-195.644
1004.934,99.99946,1004.934,-195.63
1005.051,99.99946,1005.051,-195.618
1005.168,99.99946,1005.168,-195.607
1005.285,99.99946,1005.285,-195.598
1005.402,99.99945,1005.402,-195.59
1005.519,99.99945,1005.519,-195.583
1005.636,99.99945,1005.636,-195.578
1005.753,99.99945,1005.753,-195.575
1005.87,99.99945,1005.87,-195.573
1005.987,99.99944,1005.987,-195.573
1006.104,99.99944,1006.104,-195.574
1006.222,99.99944,1006.222,-195.577
1006.339,99.99944,1006.339,-195.581
1006.456,99.99944,1006.456,-195.587
1006.573,99.99943,1006.573,-195.595
1006.691,99.99943,1006.691,-195.604
1006.808,99.99943,1006.808,-195.614
1006.925,99.99943,1006.925,-195.626
1007.043,99.99942,1007.043,-195.64
1007.16,99.99942,1007.16,-195.655
1007.278,99.99942,1007.278,-195.672
1007.395,99.99941,1007.395,-195.69
1007.513,99.99941,1007.513,-195.71
1007.63,99.99941,1007.63,-195.732
1007.748,99.99941,1007.748,-195.754
1007.866,99.9994,1007.866,-195.779
1007.983,99.9994,1007.983,-195.805
1008.101,99.99939,1008.101,-195.832
1008.219,99.99939,1008.219,-195.861
1008.336,99.99939,1008.336,-195.892
1008.454,99.99938,1008.454,-195.924
1008.572,99.99938,1008.572,-195.957
1008.69,99.99938,1008.69,-195.992
1008.807,99.99937,1008.807,-196.029
1008.925,99.99937,1008.925,-196.067
1009.043,99.99936,1009.043,-196.106
1009.161,99.99936,1009.161,-196.147
1009.279,99.99935,1009.279,-196.189
1009.397,99.99935,1009.397,-196.233
1009.515,99.99935,1009.515,-196.278
1009.633,99.99934,1009.633,-196.325
1009.751,99.99934,1009.751,-196.373
1009.869,99.99933,1009.869,-196.422
1009.987,99.99933,1009.987,-196.473
1010.105,99.99932,1010.105,-196.525
1010.223,99.99931,1010.223,-196.578
1010.342,99.99931,1010.342,-196.633
1010.46,99.9993,1010.46,-196.689
1010.578,99.9993,1010.578,-196.746
1010.696,99.99929,1010.696,-196.805
1010.815,99.99929,1010.815,-196.865
1010.933,99.99928,1010.933,-196.926
1011.051,99.99927,1011.051,-196.988
1011.17,99.99927,1011.17,-197.052
1011.288,99.99926,1011.288,-197.116
1011.406,99.99925,1011.406,-197.182
1011.525,99.99925,1011.525,-197.249
1011.643,99.99924,1011.643,-197.317
1011.762,99.99923,1011.762,-197.386
1011.88,99.99922,1011.88,-197.457
1011.999,99.99922,1011.999,-197.528
1012.118,99.99921,1012.118,-197.6
1012.236,99.9992,1012.236,-197.674
1012.355,99.99919,1012.355,-197.748
1012.474,99.99918,1012.474,-197.823
1012.592,99.99917,1012.592,-197.899
1012.711,99.99917,1012.711,-197.976
1012.83,99.99916,1012.83,-198.054
1012.949,99.99915,1012.949,-198.133
1013.067,99.99914,1013.067,-198.213
1013.186,99.99913,1013.186,-198.294
1013.305,99.99912,1013.305,-198.375
1013.424,99.99911,1013.424,-198.457
1013.543,99.9991,1013.543,-198.54
1013.662,99.99909,1013.662,-198.623
1013.781,99.99907,1013.781,-198.707
1013.9,99.99906,1013.9,-198.792
1014.019,99.99905,1014.019,-198.877
1014.138,99.99904,1014.138,-198.963
1014.257,99.99903,1014.257,-199.05
1014.376,99.99902,1014.376,-199.137
1014.495,99.999,1014.495,-199.224
1014.615,99.99899,1014.615,-199.312
1014.734,99.99898,1014.734,-199.4
1014.853,99.99896,1014.853,-199.489
1014.972,99.99895,1014.972,-199.578
1015.092,99.99893,1015.092,-199.668
1015.211,99.99892,1015.211,-199.758
1015.33,99.9989,1015.33,-199.848
1015.45,99.99889,1015.45,-199.938
1015.569,99.99887,1015.569,-200.028
1015.689,99.99886,1015.689,-200.119
1015.808,99.99884,1015.808,-200.21
1015.928,99.99882,1015.928,-200.301
1016.047,99.9988,1016.047,-200.391
1016.167,99.99879,1016.167,-200.482
1016.286,99.99877,1016.286,-200.573
1016.406,99.99875,1016.406,-200.664
1016.525,99.99873,1016.525,-200.755
1016.645,99.99871,1016.645,-200.846
1016.765,99.99869,1016.765,-200.937
1016.884,99.99867,1016.884,-201.027
1017.004,99.99865,1017.004,-201.117
1017.124,99.99862,1017.124,-201.207
1017.244,99.9986,1017.244,-201.297
1017.364,99.99858,1017.364,-201.386
1017.484,99.99855,1017.484,-201.475
1017.603,99.99853,1017.603,-201.564
1017.723,99.9985,1017.723,-201.652
1017.843,99.99848,1017.843,-201.74
1017.963,99.99845,1017.963,-201.827
1018.083,99.99842,1018.083,-201.914
1018.203,99.99839,1018.203,-202
1018.323,99.99836,1018.323,-202.086
1018.443,99.99833,1018.443,-202.171
1018.564,99.9983,1018.564,-202.255
1018.684,99.99827,1018.684,-202.339
1018.804,99.99824,1018.804,-202.422
1018.924,99.9982,1018.924,-202.504
1019.044,99.99817,1019.044,-202.585
1019.165,99.99813,1019.165,-202.665
1019.285,99.9981,1019.285,-202.745
1019.405,99.99806,1019.405,-202.823
1019.525,99.99802,1019.525,-202.901
1019.646,99.99798,1019.646,-202.978
1019.766,99.99794,1019.766,-203.053
1019.887,99.99789,1019.887,-203.127
1020.007,99.99785,1020.007,-203.201
1020.128,99.9978,1020.128,-203.273
1020.248,99.99776,1020.248,-203.344
1020.369,99.99771,1020.369,-203.414
1020.489,99.99766,1020.489,-203.482
1020.61,99.99761,1020.61,-203.549
1020.73,99.99755,1020.73,-203.615
1020.851,99.9975,1020.851,-203.679
1020.972,99.99744,1020.972,-203.742
1021.092,99.99738,1021.092,-203.803
1021.213,99.99732,1021.213,-203.863
1021.334,99.99726,1021.334,-203.921
1021.455,99.9972,1021.455,-203.978
1021.576,99.99713,1021.576,-204.033
1021.696,99.99706,1021.696,-204.086
1021.817,99.99699,1021.817,-204.137
1021.938,99.99692,1021.938,-204.187
1022.059,99.99684,1022.059,-204.235
1022.18,99.99676,1022.18,-204.28
1022.301,99.99668,1022.301,-204.324
1022.422,99.9966,1022.422,-204.366
1022.543,99.99651,1022.543,-204.405
1022.664,99.99642,1022.664,-204.443
1022.785,99.99633,1022.785,-204.478
1022.907,99.99623,1022.907,-204.51
1023.028,99.99613,1023.028,-204.541
1023.149,99.99603,1023.149,-204.569
1023.27,99.99592,1023.27,-204.594
1023.391,99.99581,1023.391,-204.617
1023.513,99.9957,1023.513,-204.637
1023.634,99.99558,1023.634,-204.654
1023.755,99.99546,1023.755,-204.668
1023.877,99.99533,1023.877,-204.679
1023.998,99.9952,1023.998,-204.687
1024.12,99.99507,1024.12,-204.692
1024.241,99.99493,1024.241,-204.694
1024.362,99.99478,1024.362,-204.692
1024.484,99.99464,1024.484,-204.687
1024.606,99.99448,1024.606,-204.678
1024.727,99.99432,1024.727,-204.665
1024.849,99.99415,1024.849,-204.648
1024.97,99.99398,1024.97,-204.628
1025.092,99.99381,1025.092,-204.603
1025.214,99.99362,1025.214,-204.574
1025.335,99.99344,1025.335,-204.541
1025.457,99.99324,1025.457,-204.503
1025.579,99.99304,1025.579,-204.461
1025.701,99.99283,1025.701,-204.415
1025.823,99.99262,1025.823,-204.363
1025.944,99.9924,1025.944,-204.307
1026.066,99.99217,1026.066,-204.247
1026.188,99.99194,1026.188,-204.182
1026.31,99.9917,1026.31,-204.112
1026.432,99.99145,1026.432,-204.038
1026.554,99.9912,1026.554,-203.959
1026.676,99.99094,1026.676,-203.876
1026.798,99.99068,1026.798,-203.79
1026.92,99.99041,1026.92,-203.699
1027.042,99.99013,1027.042,-203.606
1027.165,99.98985,1027.165,-203.51
1027.287,99.98956,1027.287,-203.412
1027.409,99.98927,1027.409,-203.312
1027.531,99.98897,1027.531,-203.212
1027.653,99.98868,1027.653,-203.112
1027.776,99.98837,1027.776,-203.012
1027.898,99.98807,1027.898,-202.915
1028.02,99.98777,1028.02,-202.82
1028.143,99.98746,1028.143,-202.73
1028.265,99.98716,1028.265,-202.645
