Wlgth,GDDrp5deg,GDDrp19deg
400,502441.9072,10682.32212
400.115466,-2124933.798,7571.581512
400.2309987,-203351.845,5526.394381
400.3465982,-24786.50262,4130.321957
400.4622645,3542.841086,3144.628746
400.5779976,11847.96367,2426.992323
400.6937976,14416.19121,1889.480032
400.8096646,14479.13831,1475.962644
400.9255986,13341.85826,1149.522639
401.0415997,11716.36254,885.1914645
401.1576679,9995.759957,665.6263454
401.2738034,8372.3443,478.4604166
401.3900061,6919.71086,314.6331439
401.5062762,5648.211578,167.3101154
401.6226136,4537.933919,31.16536443
401.7390184,3555.992742,-98.10892503
401.8554908,2664.199832,-224.1478596
401.9720307,1821.093555,-350.1659352
402.0886382,980.3808707,-479.1484333
402.2053134,86.34095399,-614.0026919
402.3220563,-934.6121561,-757.6813307
402.438867,-2188.756423,-913.282249
402.5557456,-3841.939238,-1084.122036
402.6726921,-6170.75135,-1273.767573
402.7897065,-9665.596657,-1485.990681
402.906789,-15252.59116,-1724.575169
403.0239395,-24817.16931,-1992.841122
403.1411582,-42646.15359,-2292.634392
403.2584451,-80663.8006,-2622.320572
403.3758003,-183844.749,-2972.962576
403.4932238,-393810.59,-3321.278167
403.6107157,364246.5425,-3617.152693
403.728276,203408.9572,-3762.70457
403.8459048,91938.93628,-3580.432685
403.9636022,50338.55564,-2773.607688
404.0813682,30142.62094,-901.54729
404.1992029,19133.10452,2559.298141
404.3171064,12737.05005,7905.640635
404.4350786,8827.252584,14375.40801
404.5531197,6326.89369,18706.16626
404.6712298,4661.828356,14887.22989
404.7894088,3511.99347,333.8836406
404.9076569,2691.492566,-16028.649
405.025974,2088.194748,-23707.18185
405.1443604,1632.082513,-23056.38708
405.2628159,1278.028886,-19051.10467
405.3813408,996.0878661,-14600.31562
405.499935,765.8367916,-10484.71597
405.6185986,572.9770678,-6712.577129
405.7373317,407.2325814,-3225.26893
405.8561343,261.0147774,-78.29124034
405.9750065,128.5520967,2597.208827
406.0939484,5.306802326,4682.169179
406.2129599,-112.4272168,6128.382834
406.3320413,-227.8113636,6969.770141
406.4511925,-343.6756736,7300.693969
406.5704136,-462.6858731,7243.384902
406.6897046,-587.4826661,6919.915809
406.8090657,-720.8063371,6434.908151
406.9284969,-865.6163101,5868.631421
407.0479982,-1025.212918,5277.258004
407.1675697,-1203.366564,4696.756558
407.2872115,-1404.456813,4147.853693
407.4069236,-1633.619502,3640.635244
407.5267061,-1896.891418,3178.217194
407.646559,-2201.325555,2759.410705
407.7664825,-2555.017974,2380.524719
407.8864766,-2966.926683,2036.508456
408.0065413,-3446.250281,1721.620187
408.1266767,-4000.930638,1429.767282
408.2468829,-4634.49154,1154.619099
408.3671599,-5339.857996,889.5575562
408.4875078,-6088.006429,627.5023056
408.6079266,-6808.514099,360.6284532
408.7284165,-7359.242459,79.98663498
408.8489775,-7485.678642,-224.9540424
408.9696095,-6779.447304,-566.7662238
409.0903128,-4656.625878,-960.2932012
409.2110874,-366.0894605,-1421.974321
409.3319333,7025.307635,-1966.424846
409.4528506,18715.49152,-2595.278581
409.5738394,35433.50425,-3264.642925
409.6948997,50728.68187,-3792.964284
409.8160315,34305.73142,-3598.418328
409.9372351,-26001.14868,-924.7982836
410.0585103,-55247.2195,9603.888912
410.1798573,-43376.38412,45630.7217
410.3012761,-25575.38403,164169.6168
410.4227669,-12611.33513,218477.4248
410.5443296,-4179.708398,-276967.7038
410.6659644,1227.509331,-108250.9367
410.7876712,4645.220518,-28229.21935
410.9094502,6684.779257,-4654.142026
411.0313015,7728.838437,2136.177415
411.153225,8055.72631,3692.60429
411.2752209,7891.614053,3606.254678
411.3972892,7421.355851,3061.726537
411.51943,6786.937424,2450.714287
411.6416433,6088.375834,1892.424104
411.7639292,5389.729111,1412.096091
411.8862878,4727.723594,1004.162849
412.0087192,4120.235239,654.6665421
412.1312234,3573.160994,348.9084145
412.2538004,3085.351939,73.70948747
412.3764504,2651.862049,-182.2526341
412.4991733,2265.938593,-428.741949
412.6219694,1920.151212,-674.4263886
412.7448385,1606.96231,-927.3432109
412.8677809,1318.945461,-1195.321363
412.9907965,1048.782012,-1486.353288
413.1138855,789.1117007,-1808.91578
413.2370478,532.2771421,-2172.231466
413.3602836,269.9817694,-2586.444022
413.483593,-7.122257822,-3062.6516
413.6069759,-309.8729174,-3612.704651
413.7304325,-650.9260387,-4248.633897
413.8539628,-1044.56791,-4981.559695
413.9775669,-1504.894531,-5820.019876
414.1012448,-2039.321899,-6767.996341
414.2249967,-2629.153167,-7823.769103
414.3488225,-3174.214707,-8982.250887
414.4727224,-3335.776162,-10245.0199
414.5966965,-2081.977838,-11640.52477
414.7207447,3678.262602,-13242.57355
414.8448671,23418.35575,-15130.94363
414.9690639,86023.71317,-17150.22673
415.0933351,215071.9733,-18264.20328
415.2176807,-93544.8738,-15737.65261
415.3421009,-171131.6815,-6173.490466
415.4665956,-55571.45069,9318.308895
415.591165,-13633.60984,23053.03641
415.7158091,-722.7929566,29667.75053
415.840528,2857.965647,31142.81953
415.9653218,3435.000968,31763.31794
416.0901905,3093.107349,34106.9399
416.2151341,2529.156694,37645.3488
416.3401529,1967.909761,36124.51565
416.4652467,1471.087219,18365.38378
416.5904158,1045.201531,-11749.99734
416.7156601,679.7124818,-29559.06912
416.8409797,360.3287887,-28777.22523
416.9663748,73.30207784,-20597.54276
417.0918453,-193.5305159,-12415.67514
417.2173913,-450.8332806,-6220.299654
417.3430129,-708.210566,-2026.84742
417.4687103,-974.7246451,584.6758199
417.5944833,-1259.410535,2059.350165
417.7203322,-1571.77483,2771.950193
417.8462569,-1922.287069,3006.69562
417.9722576,-2322.872582,2962.479581
418.0983343,-2787.402791,2769.274153
418.2244871,-3332.15112,2507.033929
418.350716,-3976.132199,2222.147283
418.4770211,-4741.15607,1939.75781
418.6034026,-5651.290703,1672.16902
418.7298604,-6731.219463,1424.229219
418.8563946,-8002.696192,1196.629096
418.9830053,-9477.919068,987.8481264
419.1096926,-11147.98101,795.2619453
419.2364565,-12962.68933,615.7426067
419.3632971,-14792.16266,445.9571847
419.4902145,-16346.74041,282.4876386
419.6172088,-17021.29995,121.8429732
419.7442799,-15709.32541,-39.59737241
419.8714281,-10982.29067,-205.6899969
419.9986533,-2363.829439,-380.6779964
420.1259556,7948.339238,-569.3889089
420.2533351,16026.7842,-777.491555
420.3807919,19727.83008,-1011.831238
420.508326,19813.73913,-1280.872273
420.6359376,18127.39874,-1595.289004
420.7636266,16097.95086,-1968.762639
420.8913931,14500.00271,-2419.06269
421.0192373,13700.77267,-2969.519855
421.1471591,13869.40978,-3651.033286
421.2751587,14998.14967,-4504.802444
421.4032362,16655.79092,-5586.044977
421.5313915,17431.28606,-6969.109199
421.6596248,14611.16122,-8754.797251
421.7879362,6026.604663,-11081.93924
421.9163256,-5683.105642,-14148.59845
422.0447933,-13822.74505,-18254.89497
422.1733392,-15248.24411,-23878.04714
422.3019634,-12216.21941,-31682.49904
422.4306661,-7973.735019,-41668.19622
422.5594472,-4304.596706,-48333.27274
422.6883068,-1706.392627,-31620.03603
422.8172451,-82.47324354,17190.16611
422.9462621,827.3383067,50148.42112
423.0753578,1268.644184,48846.52915
423.2045323,1424.003755,36824.12134
423.3337858,1414.749158,26296.22556
423.4631182,1316.307744,18884.87322
423.5925297,1173.347559,13823.13471
423.7220203,1011.143014,10310.14618
423.8515901,843.177855,7810.716985
423.9812392,675.9272882,5993.664819
424.1109676,511.7515801,4657.189584
424.2407754,350.5941876,3682.789338
424.3706627,190.9437597,3012.209071
424.5006295,30.34637984,2640.988349
424.630676,-134.3608322,2626.880903
424.7608022,-306.9971121,3116.159364
424.8910082,-492.1153699,4394.930841
425.021294,-695.1890001,6971.291297
425.1516597,-922.9099337,11659.35411
425.2821055,-1183.618613,19439.21035
425.4126313,-1487.906164,30064.80833
425.5432373,-1849.452764,36802.27902
425.6739234,-2286.19759,21480.74109
425.8046899,-2821.978892,-16385.49797
425.9355367,-3488.842464,-37206.43361
426.066464,-4330.299276,-32303.43492
426.1974718,-5405.928013,-20644.86557
426.3285602,-6797.889981,-11427.4584
426.4597292,-8620.230625,-5645.634406
426.590979,-11032.52827,-2335.5981
426.7223096,-14261.08054,-547.6198552
426.8537211,-18633.37191,356.2386581
426.9852136,-24623.9669,761.2342621
427.1167871,-32803.78039,890.2435052
427.2484417,-42936.00857,869.2900914
427.3801775,-49328.38917,768.3582482
427.5119945,-32471.48651,625.4190338
427.6438929,15974.40396,460.2262169
427.7758727,49619.91322,282.1520946
427.907934,49410.60945,94.63414821
428.0400769,37872.37308,-102.2560867
428.1723014,27370.85357,-310.2108397
428.3046076,19807.18314,-531.4308456
428.4369956,14557.26167,-767.1528378
428.5694654,10872.71986,-1015.198799
428.7020173,8228.794039,-1265.190759
428.8346511,6287.022949,-1488.689094
428.967367,4830.243243,-1618.393592
429.1001651,3718.288548,-1503.414798
429.2330455,2861.960313,-810.697202
429.3660081,2209.247526,1199.750472
429.4990532,1740.439226,6211.358084
429.6321807,1471.578619,18185.16242
429.7653908,1468.548286,46344.81875
429.8986836,1877.700341,102991.4633
430.032059,2983.724683,104046.4278
430.1655172,5308.325856,-101664.7699
430.2990583,9742.276751,-104820.1097
430.4326824,17544.94464,-47339.48695
430.5663894,29278.99287,-18395.33639
430.7001795,39541.71897,-6037.433515
430.8340528,28118.11288,-863.3628838
430.9680094,-13389.35708,1202.163046
431.1020493,-39574.9189,1903.106356
431.2361726,-34645.4455,2009.633122
431.3703793,-21499.6821,1868.844124
431.5046697,-11426.35233,1637.644001
431.6390436,-5374.601454,1385.628236
431.7735013,-2066.639132,1141.973737
431.9080428,-366.9087809,917.2842096
432.0426681,441.2774607,713.9672145
432.1773774,768.2926847,531.3211681
432.3121708,840.2256961,368.262404
432.4470482,779.09702,225.2021518
432.5820098,649.5253381,106.0339709
432.7170557,484.6895475,21.14220717
432.852186,300.5201508,-7.289007185
432.9874006,103.4212279,64.50505403
433.1226998,-105.487224,319.9144166
433.2580836,-327.9144893,914.342179
433.393552,-566.6880857,2128.808417
433.5291051,-823.9503048,4439.074791
433.6647431,-1098.225196,8520.2985
433.800466,-1378.515865,14822.58414
433.9362738,-1631.579181,21695.49735
434.0721667,-1773.741797,21711.76935
434.2081448,-1607.074965,5451.8984
434.3442081,-670.7455347,-17042.65623
434.4803566,2118.711339,-24772.14685
434.6165906,9381.372087,-19307.91033
434.75291,27655.84447,-11429.86583
434.889315,71918.23781,-5706.240192
435.0258056,139524.5339,-2371.051839
435.1623818,651.9588482,-633.2600389
435.2990439,-141251.5882,194.1433381
435.4357918,-73220.97989,538.7586814
435.5726257,-27851.54897,638.0656508
435.7095456,-8953.699979,617.4703353
435.8465516,-1434.718908,541.3377891
435.9836438,1413.600235,441.845749
436.1208223,2324.444836,334.4152284
436.2580871,2441.255823,225.7762102
436.3954383,2251.7843,118.1394365
436.5328761,1964.027304,11.33222348
436.6704004,1664.258973,-96.13371825
436.8080115,1385.474432,-206.563929
436.9457093,1137.60182,-322.8983584
437.0834939,920.9917632,-448.7185535
437.2213655,732.4800073,-588.3891043
437.3593241,568.1458567,-747.3183802
437.4973697,424.6526002,-932.3512655
437.6355025,300.0894409,-1152.329722
437.7737226,194.8458823,-1418.880113
437.91203,112.9584615,-1747.510203
438.0504249,64.48240957,-2159.117798
438.1889072,69.75902296,-2682.004387
438.3274772,167.0139606,-3354.383849
438.4661348,425.4782608,-4226.998399
438.6048801,966.5126405,-5364.34711
438.7437133,1991.955817,-6840.136327
438.8826344,3801.095792,-8715.764507
439.0216435,6714.379776,-10977.48294
439.1607407,10665.0914,-13394.49451
439.299926,14099.93088,-15307.49196
439.4391997,12883.43716,-15775.08221
439.5785616,3484.103679,-18052.14256
439.718012,-9000.114592,-410078.4833
439.8575509,-14956.57274,96787.56193
439.9971783,-13345.37149,18141.7998
440.1368945,-8999.040611,15795.44295
440.2766994,-5158.382821,13871.10285
440.4165931,-2609.328015,11417.33363
440.5565758,-1130.278649,9041.041615
440.6966475,-343.4641569,7033.265379
440.8368083,38.83325069,5439.222767
440.9770582,196.1424032,4205.995499
441.1173975,231.6364979,3258.701306
441.257826,202.1794317,2528.991476
441.3983441,138.1789307,1962.330747
441.5389516,55.26058249,1517.601178
441.6796488,-39.20548921,1164.621881
441.8204356,-142.5570568,881.5807031
441.9613123,-254.9687079,652.9524812
442.1022788,-378.5289528,467.9753482
442.2433352,-516.8763156,319.6069859
442.3844817,-675.1992185,203.8555617
442.5257183,-860.5180869,119.385105
442.6670452,-1082.240317,67.29561606
442.8084623,-1353.030894,50.9555509
442.9499698,-1690.081173,75.70368381
443.0915678,-2116.875032,148.1262266
443.2332564,-2665.492215,274.4550799
443.3750355,-3379.183621,457.4746311
443.5169055,-4313.897816,691.3353549
443.6588662,-5534.157727,954.2234143
443.8009179,-7088.868712,1200.483419
443.9430605,-8923.470573,1356.836852
444.0852942,-10595.67775,1330.57073
444.2276191,-10349.17705,1036.764929
444.3700353,-1425.599278,441.0659552
444.5125428,55365.47597,-404.3313294
444.6551417,1011941.135,-1363.127294
444.7978321,-1960607.338,-2266.134066
444.9406142,-81233.91732,-2981.060253
445.0834879,-2312.018086,-3454.743122
445.2264535,9338.235561,-3708.850472
445.3695109,10197.99021,-3806.498772
445.5126603,8688.773125,-3817.622294
445.6559017,6891.734288,-3798.229886
445.7992352,5336.95024,-3783.8987
445.942661,4105.945923,-3791.568407
446.0861792,3158.329625,-3824.128229
446.2297897,2432.118128,-3874.786101
446.3734927,1871.965478,-3930.240815
446.5172883,1434.64999,-3972.749797
446.6611766,1088.014962,-3981.586896
446.8051576,808.5527747,-3934.454324
446.9492315,579.1563606,-3809.33443
447.0933983,387.3745033,-3587.088581
447.2376582,224.1545507,-3254.816025
447.3820112,82.97709189,-2809.571611
447.5264574,-40.70840889,-2261.588153
447.6709969,-149.8130207,-1635.856767
447.8156298,-245.7425514,-971.0452377
447.9603562,-328.3540682,-315.4196428
448.1051762,-395.7359958,279.4995006
448.2500898,-443.8064611,765.8750713
448.3950972,-465.737032,1105.149137
448.5401985,-451.2612356,1270.968164
448.6853937,-386.058477,1249.29533
448.8306829,-251.6779519,1036.833277
448.9760662,-26.96088199,640.0023662
449.1215438,307.3481084,78.15472841
449.2671156,758.3974623,-601.8844243
449.4127819,1303.337337,-1282.542
449.5585427,1865.232469,-1650.455099
449.704398,2293.997391,-783.7246647
449.850348,2378.078321,4664.458279
449.9963928,1916.430626,33654.24649
450.1425324,844.0922167,385254.9749
450.288767,-671.6010626,-6018167.166
450.4350966,-2275.337139,-142931.62
450.5815213,-3607.384917,-18756.54873
450.7280413,-4476.727199,1085.961226
450.8746566,-4894.808859,7353.830043
451.0213674,-4992.660023,9263.474959
451.1681736,-4921.55143,9243.748412
451.3150754,-4796.885251,8403.51992
451.462073,-4685.446594,7309.157713
451.6091663,-4614.188169,6227.363138
451.7563555,-4583.551148,5263.75124
451.9036406,-4578.105979,4445.495042
452.0510219,-4573.340434,3765.981974
452.1984993,-4539.72303,3206.714167
452.346073,-4445.576504,2747.094088
452.493743,-4260.030277,2368.287323
452.6415094,-3956.840021,2054.389822
452.7893724,-3519.229297,1792.467372
452.9373321,-2945.114019,1572.188184
453.0853884,-2251.256172,1385.361172
453.2335416,-1474.440181,1225.504048
453.3817917,-668.1460563,1087.482582
453.5301389,105.4400981,967.2292584
453.6785831,786.4409802,861.5398082
453.8271246,1328.602111,767.94847
453.9757633,1708.789128,684.6942208
454.1244995,1935.077564,610.8132288
454.2733331,2058.112345,546.4366624
454.4222643,2197.662263,493.4580793
454.5712932,2613.259366,456.901219
454.7204199,3900.120781,447.6398476
454.8696445,7585.283115,487.6960417
455.018967,18267.10325,620.1510528
455.1683876,53310.42615,925.7431605
455.3179064,196000.6536,1541.802473
455.4675235,390858.6351,2643.996514
455.6172389,-426012.3085,4235.91188
455.7670527,-120109.2083,5467.005111
455.9169651,-33866.57407,4069.458168
456.0669762,-7942.597013,-910.6548096
456.217086,1878.816978,-5230.101053
456.3672947,5677.111899,-5401.067082
456.5176023,6790.924898,-3355.751047
456.6680089,6693.259884,-1487.00453
456.8185147,6104.266486,-389.4150095
456.9691197,5371.138018,136.9930847
457.1198241,4649.659852,352.4141721
457.2706279,4000.630929,418.9414703
457.4215312,3440.333886,419.791981
457.5725342,2965.845354,394.4413321
457.7236369,2567.144409,360.7897213
457.8748394,2232.590925,326.579976
458.0261419,1951.199994,294.8856606
458.1775443,1713.428628,266.6826565
458.329047,1511.308772,242.041681
458.4806498,1338.321166,220.6762978
458.6323529,1189.191364,202.1902656
458.7841565,1059.688975,186.1847474
458.9360606,946.4670586,172.3005932
459.0880654,846.9638324,160.2310481
459.2401708,759.3923664,149.7214551
459.3923771,682.8649754,140.5635645
459.5446843,617.7458703,132.5877372
459.6970925,566.4196185,125.6541874
459.8496019,534.8457999,119.6433337
460.0022125,535.6089842,114.4447962
460.1549244,593.7173616,109.9444572
460.3077377,756.874805,106.0093591
460.4606526,1110.26752,102.4713198
460.6136691,1782.692978,99.11229736
460.7667873,2876.848922,95.65780785
460.9200074,4134.458458,91.78820217
461.0733294,4271.26713,87.17879946
461.2267534,1489.346201,81.57437808
461.3802796,-2892.02665,74.88762428
461.533908,-4733.815659,67.28747951
461.6876388,-3601.953778,59.22631838
461.841472,-1823.891867,51.36587825
461.9954077,-600.5103575,44.40883329
462.1494462,29.98594523,38.90104178
462.3035873,302.0920401,35.09318009
462.4578313,395.5866305,32.91676979
462.6121783,408.662289,32.06480093
462.7666283,388.8282282,32.12048607
462.9211815,357.7427377,32.67425466
463.075838,324.8096966,33.39613841
463.2305978,293.8160128,34.06102979
463.3854612,266.0377393,34.54135355
463.5404281,241.6691366,34.78456227
463.6954986,220.4729636,34.78815012
463.850673,202.0713963,34.57874994
464.0059513,186.0715261,34.19734325
464.1613335,172.1152164,33.69018374
464.3168199,159.8950134,33.1041511
464.4724105,149.1554817,32.48520619
464.6281053,139.6888929,31.87890023
464.7839046,131.3292697,31.33221846
464.9398084,123.9464457,30.89627316
465.0958169,117.4406525,30.62942121
465.25193,111.7375266,30.6001699
465.408148,106.7830056,30.88857625
465.564471,102.5371794,31.58344579
465.720899,98.9657099,32.77011568
465.8774321,96.02697834,34.49981581
466.0340705,93.6529245,36.72772776
466.1908143,91.7222669,39.20809396
466.3476636,90.02762371,41.35431222
466.5046184,88.24454436,42.13057977
466.6616789,85.92119942,40.14203129
466.8188452,82.51888667,34.14506806
466.9761174,77.53372915,23.9851748
467.1334956,70.70025493,11.37863436
467.2909799,62.21040736,-0.434509784
467.4485705,52.81253791,-8.352404681
467.6062673,43.66544604,-11.09174647
467.7640706,35.9604808,-9.464983576
467.9219805,30.50274754,-5.358825642
468.079997,27.48705609,-0.567146682
468.2381203,26.56013738,3.771867646
468.3963504,27.07035379,7.173906459
468.5546875,28.33363557,9.578040326
468.7131317,29.80327127,11.12278233
468.8716831,31.12597774,12.00398035
469.0303418,32.12223044,12.40603786
469.1891079,32.73644564,12.47787484
469.3479815,32.98692445,12.33055207
469.5069627,32.92806256,12.04311221
469.6660517,32.62647231,11.67019572
469.8252486,32.14815196,11.24889127
469.9845534,31.55302742,10.80412513
470.1439662,30.89388339,10.35263908
470.3034873,30.21769745,9.905838989
470.4631166,29.56822178,9.47181951
470.6228543,28.98920799,9.056823799
470.7827006,28.52794666,8.666337162
470.9426554,28.23878847,8.305958192
471.102719,28.18594409,7.982140879
471.2628915,28.44390126,7.70284631
471.4231729,29.09186694,7.478063283
471.5835633,30.19532301,7.320020031
471.7440629,31.76330706,7.242662307
471.9046718,33.66737077,7.259551849
472.0653901,35.51741672,7.378713796
472.226218,36.53183228,7.592302855
472.3871554,35.5331813,7.85904221
472.5482026,31.29754872,8.080248112
472.7093596,23.37631597,8.079264051
472.8706266,12.96848258,7.610611489
473.0320036,2.851583163,6.437497404
473.1934909,-4.079658535,4.489521724
473.3550884,-6.52439891,2.018667423
473.5167964,-5.167878258,-0.415884024
473.6786148,-1.719555151,-2.211626581
473.8405439,2.221339656,-3.051254853
474.0025838,5.686347079,-3.016074274
474.1647345,8.304339477,-2.435936253
474.3269962,10.06738756,-1.664112458
474.489369,11.12263687,-0.944543465
474.651853,11.65001954,-0.392872349
474.8144483,11.80861411,-0.034277944
474.977155,11.72141475,0.152261972
475.1399733,11.47694329,0.203443151
475.3029033,11.13623745,0.155820359
475.465945,10.74023843,0.039690246
475.6290987,10.31589499,-0.122047241
475.7923643,9.880712366,-0.312994614
475.9557421,9.44596927,-0.521815006
476.1192321,9.01893128,-0.740864399
476.2828345,8.604356211,-0.965092998
476.4465493,8.205518594,-1.191230166
476.6103767,7.824915155,-1.417205786
476.7743168,7.464759925,-1.641750074
476.9383698,7.127334918,-1.864121213
477.1025357,6.815224702,-2.083921783
477.2668146,6.531422771,-2.300975742
477.4312067,6.27924552,-2.515246126
477.5957121,6.061916297,-2.726779872
477.7603309,5.881583757,-2.935670413
477.9250632,5.737433248,-3.142031661
478.0899092,5.622514172,-3.345978876
478.2548689,5.519138138,-3.547613117
478.4199425,5.3935711,-3.747006673
478.5851301,5.192659144,-3.944187077
478.7504317,4.847787176,-4.13911726
478.9158477,4.292966507,-4.331668918
479.0813779,3.498929599,-4.521585377
479.2470227,2.510265982,-4.70842898
479.412782,1.456283469,-4.891506394
479.578656,0.511717366,-5.069763343
479.7446448,-0.178584343,-5.241638692
479.9107486,-0.560146882,-5.404868259
480.0769675,-0.674489407,-5.556235083
480.2433015,-0.617723113,-5.691283836
480.4097508,-0.490269029,-5.804070242
480.5763156,-0.366271259,-5.887133535
480.7429959,-0.286691534,-5.932108586
480.9097918,-0.266178198,-5.931774091
481.0767036,-0.303455875,-5.884792528
481.2437312,-0.389851731,-5.804471452
481.4108749,-0.514636917,-5.731238485
481.5781347,-0.667739584,-5.743015074
481.7455107,-0.840796765,-5.948171551
481.9130032,-1.027329971,-6.441904939
482.0806121,-1.222537911,-7.230434725
482.2483377,-1.422970709,-8.180068036
482.4161801,-1.626208001,-9.063835944
482.5841393,-1.830586778,-9.690777189
482.7522155,-2.034988319,-10.00363499
482.9204088,-2.238678515,-10.06913418
483.0887194,-2.441191302,-10.00201135
483.2571473,-2.64224483,-9.900392551
483.4256927,-2.841681572,-9.822598067
483.5943557,-3.039425409,-9.792412454
483.7631365,-3.235450399,-9.812742296
483.9320351,-3.4297572,-9.877017622
484.1010517,-3.622354019,-9.975971185
484.2701863,-3.813239493,-10.10082232
